Number Atom1 Atom2 Atom3 Angle
476 S2 Cu21 Cu21 64.7
477 S2 Cu21 As1 121.5
478 Cu2 Cu21 Cu21 18.7
479 Cu2 Cu21 S1 161.1
480 Cu2 Cu21 Cu2 69.6
481 Cu2 Cu21 Cu21 67.9
482 Cu2 Cu21 As1 83.9
483 Cu21 Cu21 S1 166.1(3)
484 Cu21 Cu21 Cu2 67.9
485 Cu21 Cu21 Cu21 60.0(2)
486 Cu21 Cu21 As1 65.2(2)
487 S1 Cu21 Cu2 98.9
488 S1 Cu21 Cu21 106.1(3)
489 S1 Cu21 As1 110.5(2)
490 Cu2 Cu21 Cu21 18.7
491 Cu2 Cu21 As1 83.9
492 Cu21 Cu21 As1 65.2(2)
493 Cu2 S1 Cu21 24.7
494 Cu2 S1 Cu21 24.7
495 Cu2 S1 As1 113.82
496 Cu2 S1 Cu1 115.56
497 Cu2 S1 Cu1 115.56
498 Cu21 S1 Cu21 49.4(2)
499 Cu21 S1 As1 111.0(1)
500 Cu21 S1 Cu1 94.1
501 Cu21 S1 Cu1 136.1
502 Cu21 S1 As1 111.0(1)
503 Cu21 S1 Cu1 136.1
504 Cu21 S1 Cu1 94.1
505 As1 S1 Cu1 104.19
506 As1 S1 Cu1 104.19
507 Cu1 S1 Cu1 101.95
508 S1 As1 S1 99.44(3)
509 S1 As1 S1 99.44(3)
510 S1 As1 Cu21 147.2(1)
511 S1 As1 Cu21 101.6(1)
512 S1 As1 Cu21 101.6(1)
513 S1 As1 S1 99.44(3)
514 S1 As1 Cu21 101.6(1)
515 S1 As1 Cu21 147.2(1)
516 S1 As1 Cu21 101.6(1)
517 S1 As1 Cu21 101.6(1)
518 S1 As1 Cu21 101.6(1)
519 S1 As1 Cu21 147.2(1)
520 Cu21 As1 Cu21 49.6(2)
521 Cu21 As1 Cu21 49.6(2)
522 Cu21 As1 Cu21 49.6(2)
523 As1 S1 Cu2 113.82
524 As1 S1 Cu21 111.0(1)
525 As1 S1 Cu1 104.19
526 As1 S1 Cu21 111.0(1)
527 As1 S1 Cu1 104.19
528 Cu2 S1 Cu21 24.7
529 Cu2 S1 Cu1 115.56
530 Cu2 S1 Cu21 24.7
531 Cu2 S1 Cu1 115.56
532 Cu21 S1 Cu1 136.1
533 Cu21 S1 Cu21 49.4(2)
534 Cu21 S1 Cu1 94.1
535 Cu1 S1 Cu21 94.1
536 Cu1 S1 Cu1 101.95
537 Cu21 S1 Cu1 136.1
538 As1 S1 Cu2 113.82
539 As1 S1 Cu21 111.0(1)
