Number Atom1 Atom2 Type Polymeric Cyclicity Length SybylType
206 S1 Cu1 Unknown yes cyclic 2.3113 un
207 S1 Cu1 Unknown yes cyclic 2.3113 un
208 S1 Cu1 Unknown yes cyclic 2.3113 un
209 S1 Cu1 Unknown yes cyclic 2.3113 un
210 S1 Cu1 Unknown yes cyclic 2.3113 un
211 S1 As1 Unknown yes cyclic 2.2435(8) un
212 S1 Cu1 Unknown yes cyclic 2.3113 un
213 S1 As1 Unknown yes cyclic 2.2435(8) un
214 S1 Cu1 Unknown yes cyclic 2.3113 un
215 S1 As1 Unknown yes cyclic 2.2435(8) un
216 S1 As1 Unknown yes cyclic 2.2435(8) un
217 S1 Cu1 Unknown yes cyclic 2.3113 un
218 S1 As1 Unknown yes cyclic 2.2435(8) un
219 S1 Cu1 Unknown yes cyclic 2.3113 un
